FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),DDR(MHz),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
59,0,0,33.00,46.26,56.12,51.04,46.46,49.00,59.00,40.00,22.77,46.23,800,800,800,800,2400,2400,2400,900,76.80,3200,94.00,695,58,43.50,1657,3.863
58,0,0,49.49,43.76,55.67,52.43,41.05,39.78,62.63,30.85,22.22,43.75,2000,2000,2000,2000,2250,2250,2250,1900,77.60,6400,97.00,747,58,43.50,1399,3.863
57,0,0,33.00,46.16,55.79,55.45,41.49,45.92,54.17,42.42,26.32,49.50,1150,1150,1150,1150,1600,1600,1600,1600,79.50,2667,99.00,852,58,43.50,1517,3.863
56,0,0,49.50,47.47,52.17,50.53,49.50,51.49,56.86,36.36,32.67,48.04,800,800,800,800,2300,2300,2300,2350,79.50,6400,98.00,852,58,43.50,1517,3.86
47,0,0,82.51,41.41,53.68,49.49,48.98,43.62,45.74,34.34,25.00,32.26,1600,1600,1600,1600,1200,1200,1200,500,80.30,3200,98.00,852,58,43.50,1517,3.86
54,0,0,33.09,47.81,56.38,48.96,51.46,51.61,63.64,40.40,28.57,40.00,2000,2000,2000,2000,1200,1200,1200,800,77.10,4266,90.00,642,58,43.50,1615,3.86
55,0,0,49.51,46.53,55.67,54.00,48.48,53.47,55.67,34.34,25.51,44.44,900,900,900,900,1800,1800,1800,500,78.80,4266,91.00,852,58,43.50,1615,3.86
51,0,0,49.53,46.95,56.25,51.55,46.53,45.45,50.51,44.44,39.00,44.44,2000,2000,2000,2000,1800,1800,1800,1700,84.90,3200,99.00,721,58,43.50,1679,3.86
60,0,0,33.00,52.57,70.00,60.22,51.04,57.73,63.00,39.13,25.25,55.10,1250,1250,1250,1250,2050,2050,2050,1200,76.90,5500,92.00,504,58,43.50,1823,3.86
49,1,1,99.02,47.52,50.54,53.00,42.86,45.92,60.20,43.14,29.59,51.00,2000,2000,2000,2000,2150,2150,2150,1500,79.70,5500,98.00,837,58,43.50,1823,3.863
56,1,1,82.51,49.81,55.21,54.81,50.00,53.54,64.71,43.00,29.29,50.00,950,950,950,950,2050,2050,2050,2050,80.00,5500,98.00,830,58,43.50,1823,3.863
60,0,0,32.99,45.28,57.14,48.94,45.36,46.94,58.59,40.00,23.30,42.27,1050,1050,1050,1050,1600,1600,1600,1600,80.60,5500,99.00,852,58,43.50,1759,3.863
59,0,0,33.02,44.10,56.70,52.04,45.26,40.00,58.33,37.89,23.40,36.84,1100,1100,1100,1100,2150,2150,2150,500,80.50,6400,97.00,852,58,43.50,1759,3.863
59,0,0,33.01,48.03,56.60,53.92,39.58,40.59,62.14,44.00,31.07,54.90,2000,2000,2000,2000,1600,1600,1600,1000,81.30,6400,98.00,852,58,43.50,1713,3.853
53,0,0,33.02,48.64,55.91,57.73,42.11,51.04,48.00,48.45,40.40,45.83,1100,1100,1100,1100,1400,1400,1400,500,82.20,5500,99.00,852,58,43.50,1853,3.853
52,0,0,33.03,47.40,57.43,51.00,40.00,44.33,58.00,50.98,26.88,49.49,1200,1200,1200,1200,1400,1400,1400,1300,82.20,4266,99.00,852,58,43.50,1853,3.853
57,0,0,33.05,62.39,70.30,70.83,64.58,65.26,58.06,57.29,45.36,66.67,2000,2000,2000,2000,1700,1700,1700,2850,82.70,5500,99.00,852,57,43.70,1853,3.853
52,0,0,33.07,51.71,56.00,60.58,42.27,48.54,59.00,47.12,37.86,61.17,1150,1150,1150,1150,1500,1500,1500,1300,81.80,5500,97.00,852,57,43.70,1929,3.839
59,0,0,33.01,49.62,59.38,55.45,43.88,46.32,66.67,46.08,26.80,53.13,1150,1150,1150,1150,2400,2400,2400,500,81.50,4266,89.00,852,57,43.70,1929,3.839
56,0,0,33.02,48.05,62.63,52.17,47.87,39.13,57.73,43.43,29.29,53.06,1600,1600,1600,1600,2000,2000,2000,2000,82.10,5500,98.00,852,57,43.70,1687,3.839
60,0,0,33.00,44.92,57.14,54.08,45.16,43.01,62.63,34.38,17.53,45.54,850,850,850,850,1300,1300,1300,1200,80.90,4266,99.00,852,57,43.70,1725,3.853
53,0,0,33.05,45.90,56.70,50.51,40.63,43.30,52.58,43.14,30.00,48.51,850,850,850,850,1900,1900,1900,1400,81.50,6400,98.00,852,57,43.70,1725,3.853
60,0,0,32.99,44.52,53.61,54.55,47.37,43.88,61.00,34.34,20.62,42.00,900,900,900,900,1400,1400,1400,1200,77.40,2667,99.00,538,57,43.70,1725,3.853
56,0,0,49.50,47.40,54.26,48.96,43.43,46.08,60.42,42.57,26.26,57.28,2000,2000,2000,2000,2000,2000,2000,600,78.90,5500,100.00,747,57,43.70,1290,3.856
54,0,0,33.00,43.75,50.54,47.42,40.00,37.63,44.55,44.21,32.65,52.58,800,800,800,800,1600,1600,1600,600,80.50,6400,97.00,852,57,43.70,1290,3.856
53,0,0,49.50,48.44,52.63,52.00,44.55,48.42,60.61,46.08,35.29,46.60,1000,1000,1000,1000,2850,2850,2850,2850,83.50,6400,99.00,852,57,43.70,1827,3.856
57,0,0,33.09,49.48,53.76,50.53,44.68,50.00,59.80,39.58,35.48,61.62,2000,2000,2000,2000,1800,1800,1800,1600,82.00,4266,98.00,852,57,43.70,1785,3.856
52,0,0,33.06,43.78,53.47,44.21,40.82,37.11,49.49,53.40,25.49,45.10,2000,2000,2000,2000,1400,1400,1400,1400,82.30,4266,98.00,852,57,43.70,1785,3.855
55,0,0,33.02,52.55,58.00,54.17,45.74,50.51,64.00,45.92,36.36,65.71,1000,1000,1000,1000,700,700,700,900,81.30,5500,97.00,852,57,43.70,1785,3.855
52,0,0,49.49,47.20,54.95,51.65,48.91,52.75,57.45,37.11,31.25,43.16,1150,1150,1150,1150,900,900,900,500,76.80,2667,97.00,504,57,43.70,1607,3.855
59,0,0,33.03,51.06,58.00,54.17,51.52,54.46,72.28,43.14,26.73,48.57,950,950,950,950,1000,1000,1000,1000,75.90,2133,99.00,616,57,43.70,1199,3.856
59,0,0,33.01,49.53,61.70,56.67,51.65,62.11,64.89,38.71,18.48,43.16,1600,1600,1600,1600,1300,1300,1300,800,73.20,2667,98.00,453,57,43.70,1199,3.856
57,0,0,49.51,48.91,59.60,50.53,54.74,49.48,56.99,39.00,22.55,60.40,2000,2000,2000,2000,2350,2350,2350,700,76.60,5500,91.00,852,57,43.70,957,3.856
59,0,0,33.01,46.93,54.44,49.45,44.44,48.96,60.61,46.39,23.91,45.83,2000,2000,2000,2000,1500,1500,1500,1000,74.40,2133,96.00,538,57,43.70,957,3.873
59,0,0,32.99,47.40,55.10,49.46,44.68,58.59,63.27,36.08,27.27,44.21,1300,1300,1300,1300,1800,1800,1800,1800,76.90,5500,97.00,773,57,43.70,957,3.873
45,0,0,49.50,43.29,53.54,47.47,43.56,54.29,48.04,46.46,18.37,35.35,950,950,950,950,2850,2850,2850,2850,78.30,6400,97.00,852,57,43.70,1596,3.873
52,0,0,33.06,48.79,56.04,51.58,44.21,60.95,54.64,39.80,38.00,44.44,1800,1800,1800,1800,800,800,800,500,78.70,3200,98.00,852,57,43.70,1653,3.867
56,0,0,33.02,53.69,58.24,58.06,54.35,54.26,69.07,49.47,34.74,48.94,1400,1400,1400,1400,1200,1200,1200,1400,76.70,5500,92.00,695,57,43.70,1653,3.867
51,0,0,49.52,44.95,52.13,45.74,41.49,42.11,50.50,46.94,37.00,45.00,1100,1100,1100,1100,2150,2150,2150,500,79.60,4266,43.00,852,57,43.70,1543,3.867
53,0,0,33.03,48.22,53.76,56.38,50.53,56.84,55.56,45.65,23.71,43.30,1400,1400,1400,1400,1500,1500,1500,1500,76.00,3200,99.00,487,57,43.70,1543,3.867
59,0,0,33.00,46.88,54.74,52.58,45.26,44.79,50.52,38.38,38.61,52.43,1400,1400,1400,1400,2050,2050,2050,2050,79.00,6400,99.00,852,57,43.70,1543,3.863
53,1,1,99.04,43.75,52.63,46.74,46.32,38.04,62.89,40.40,20.62,40.21,1150,1150,1150,1150,1500,1500,1500,1500,78.40,5500,84.00,852,57,43.70,1676,3.863
53,1,0,65.98,42.34,53.68,51.06,45.83,46.88,55.10,31.25,20.83,36.00,2000,2000,2000,2000,1400,1400,1400,1400,77.90,6400,93.00,721,57,43.70,1619,3.863
59,0,0,33.01,46.04,58.33,53.68,48.98,44.33,57.89,41.35,20.41,43.14,1800,1800,1800,1800,1800,1800,1800,1000,79.50,5500,95.00,837,57,43.70,1619,3.857
60,0,0,33.00,44.11,52.63,52.04,39.13,46.88,60.61,37.11,22.77,43.75,2000,2000,2000,2000,1500,1500,1500,1000,80.20,2667,97.00,852,57,43.70,1619,3.857
58,0,0,49.51,44.08,53.68,46.81,48.45,45.71,60.78,40.40,17.89,38.24,1100,1100,1100,1100,1500,1500,1500,1200,79.50,5500,98.00,822,57,43.70,1619,3.857
56,0,0,33.01,43.75,53.19,45.65,45.74,52.53,55.79,39.18,18.75,37.50,1600,1600,1600,1600,1400,1400,1400,1500,80.70,6400,98.00,852,57,43.70,1619,3.857
57,0,0,33.01,48.67,57.89,53.06,45.74,54.46,64.71,37.76,26.00,51.00,2000,2000,2000,2000,2150,2150,2150,600,80.50,6400,98.00,852,57,43.80,1744,3.857
58,0,0,33.02,47.63,55.32,44.94,43.62,56.44,58.95,45.83,32.65,43.16,1250,1250,1250,1250,1600,1600,1600,1200,80.80,6400,98.00,852,57,43.80,1744,3.857
54,0,0,33.02,50.57,58.51,50.00,43.01,45.92,58.88,48.00,43.14,57.84,2000,2000,2000,2000,900,900,900,900,80.80,6400,98.00,852,57,43.80,1744,3.857
55,0,0,33.03,47.53,53.33,50.00,44.09,50.52,56.12,43.88,26.80,53.54,2000,2000,2000,2000,1200,1200,1200,500,80.80,6400,99.00,852,57,43.80,1623,3.858
58,0,0,33.00,50.38,58.59,55.21,47.31,49.00,60.00,46.00,35.05,52.94,950,950,950,950,1600,1600,1600,700,79.50,5500,98.00,800,57,43.80,1623,3.858
59,0,0,33.02,49.80,59.79,54.26,45.05,51.55,63.00,43.75,30.61,52.00,2000,2000,2000,2000,2850,2850,2850,1000,80.30,4266,98.00,852,57,43.80,1623,3.858
53,0,0,33.02,46.23,56.38,43.82,36.96,40.22,52.04,43.43,41.41,54.29,2000,2000,2000,2000,1000,1000,1000,500,80.20,6400,98.00,830,57,43.80,1585,3.858
54,0,0,49.51,46.35,53.85,50.00,43.75,40.86,58.95,49.47,26.04,44.79,1700,1700,1700,1700,1000,1000,1000,1000,80.40,6400,98.00,852,57,43.80,1585,3.858
50,0,0,33.09,46.00,52.08,50.53,38.95,49.50,57.00,41.00,32.00,47.52,1900,1900,1900,1900,800,800,800,1100,79.80,4266,99.00,822,57,43.80,1585,3.858
56,0,0,33.04,50.39,57.61,54.74,41.38,48.45,50.53,53.54,36.17,59.80,1500,1500,1500,1500,1100,1100,1100,800,80.40,6400,0.00,852,57,43.80,1536,3.857
55,0,0,33.01,51.78,61.46,51.61,44.57,50.00,52.00,51.46,49.52,55.56,950,950,950,950,1200,1200,1200,1200,80.80,4266,98.00,852,57,43.80,1536,3.857
59,0,0,33.01,53.59,63.44,51.14,53.26,47.13,62.24,46.24,38.54,62.63,1300,1300,1300,1300,1700,1700,1700,2850,92.80,4266,99.00,668,57,43.80,1536,3.857
58,0,0,32.95,52.12,59.38,60.22,51.04,55.00,65.35,39.60,27.84,60.20,1800,1800,1800,1800,1800,1800,1800,1300,80.40,4266,98.00,852,57,43.80,1607,3.857
54,0,0,33.06,48.11,56.12,54.08,44.33,46.00,48.00,50.00,39.39,46.53,2000,2000,2000,2000,1800,1800,1800,1800,81.20,5500,46.00,852,57,43.80,1607,3.868
56,0,0,33.04,49.49,58.16,51.11,45.16,49.00,64.00,45.54,35.00,47.47,1000,1000,1000,1000,1100,1100,1100,1000,76.10,2667,100.00,538,57,43.80,1607,3.868
59,0,0,33.00,47.98,55.43,51.61,44.79,43.30,63.27,43.43,29.59,53.06,1050,1050,1050,1050,1900,1900,1900,1900,78.20,5500,97.00,747,57,43.80,1108,3.868
58,0,0,33.02,44.66,57.43,49.46,38.95,46.94,58.25,41.24,25.25,40.00,1400,1400,1400,1400,2550,2550,2550,700,79.90,6400,98.00,852,57,43.80,1108,3.875
58,0,0,49.51,46.98,57.73,50.51,41.67,40.00,55.00,45.00,35.29,49.51,800,800,800,800,1500,1500,1500,500,80.50,5500,98.00,852,57,43.80,1108,3.875
52,0,0,49.51,46.34,53.76,48.35,38.89,43.01,51.61,48.51,30.85,56.25,800,800,800,800,2150,2150,2150,900,80.80,4266,98.00,852,57,43.80,1759,3.875
53,0,0,33.01,48.85,56.38,53.61,46.39,55.10,55.10,46.46,31.00,46.00,1100,1100,1100,1100,900,900,900,600,75.10,1866,95.00,487,57,43.80,1759,3.875
60,0,0,33.02,51.16,61.29,51.58,57.58,58.16,68.00,40.00,28.13,44.66,1100,1100,1100,1100,1000,1000,1000,900,73.90,3200,89.00,504,57,43.80,1759,3.869
59,0,0,33.01,50.07,57.95,56.38,56.99,54.64,65.59,38.30,22.34,49.48,900,900,900,900,500,500,500,1000,72.60,2667,98.00,572,57,43.80,1093,3.869
57,0,0,49.50,50.58,55.43,53.26,48.98,50.53,59.18,41.18,39.58,56.70,950,950,950,950,2000,2000,2000,600,76.80,5500,89.00,800,57,43.80,1093,3.869
59,0,0,33.00,46.06,51.65,50.00,44.79,53.54,60.00,41.67,22.92,43.88,800,800,800,800,1500,1500,1500,1400,75.10,3200,96.00,668,57,43.80,1093,3.869
60,0,0,33.00,46.10,51.55,47.83,40.43,47.52,62.63,40.82,28.43,51.00,850,850,850,850,1800,1800,1800,500,76.80,4266,99.00,721,57,43.80,1388,3.865
